File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
710305.csv,Bangladesh,326,3,Pakistan,329,7,male,2013/14,2014/03/04,,Asia Cup,8,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,Shahid Afridi,JD Cloete,NJ Llong,Tanvir Ahmed,CK Nandan,BC Broad,Pakistan,,,3,
667889.csv,England,247,6,Sri Lanka,144,10,male,2014,2014/05/22,Sri Lanka in England ODI Series,,1,Kennington Oval,London,,Sri Lanka,field,CJ Jordan,RJ Bailey,CB Gaffaney,RT Robinson,M Erasmus,JJ Crowe,England,,81,,D/L
1073420.csv,Pakistan,91,10,Scotland,94,4,female,2016/17,2017/02/13,,ICC Women's World Cup Qualifier,20,Colombo Cricket Club Ground,,true,Scotland,bat,Sana Mir,JM Williams,RR Wimalasiri,RMPJ Rambukwella,,,Pakistan,,,6,
749547.csv,Jersey,185,10,Oman,189,3,male,2014,2014/06/22,,ICC World Cricket League Division Four,,Singapore Cricket Club,Padang,true,Jersey,bat,Zeeshan Siddiqui,Ahmed Shah Durrani,C Howard,N Morrison,,SR Bernard,Oman,,,7,
463154.csv,South Africa,250,9,India,234,10,male,2010/11,2011/01/23,India in South Africa ODI Series,,5,SuperSport Park,Centurion,,India,field,HM Amla,BG Jerling,SJA Taufel,JD Cloete,S George,BC Broad,South Africa,,33,,D/L
298798.csv,South Africa,238,8,New Zealand,242,5,male,2007/08,2007/12/02,New Zealand in South Africa ODI Series,,3,Newlands,Cape Town,,New Zealand,bat,HH Gibbs,MR Benson,IL Howell,S George,M Erasmus,J Srinath,South Africa,,,5,
247484.csv,England,266,7,Ireland,218,10,male,2006/07,2007/03/30,,ICC World Cup,28,Providence Stadium,Guyana,true,England,bat,PD Collingwood,BR Doctrove,SJA Taufel,SA Bucknor,DJ Harper,RS Madugalle,England,,48,,
746101.csv,Bhutan,169,7,Kuwait,173,4,male,2014,2014/06/11,,Asian Cricket Council Elite League,,Singapore Cricket Club,Singapore,true,Bhutan,bat,Mohammed Irfan,B Manikandan,T Senthil Kumar,Sarika Prasad,,BK Mehta,Kuwait,,,6,
366341.csv,Sri Lanka,258,10,India,212,10,male,2008,2008/08/27,India in Sri Lanka ODI Series,,4,R Premadasa Stadium,Colombo,,India,bat,SK Raina,BR Doctrove,MG Silva,HDPK Dharmasena,TH Wijewardene,BC Broad,India,,46,,
1085952.csv,Australia,257,9,Sri Lanka,262,2,female,2017,2017/06/29,,ICC Women's World Cup,8,County Ground,Bristol,true,Australia,field,AC Jayangani,AK Chaudhary,S Redfern,AT Holdstock,,DT Jukes,Australia,,,8,
754759.csv,England,200,10,India,201,7,male,2014/15,2015/01/30,Carlton Mid One-Day International Tri-Series,,6,Western Australia Cricket Association Ground,Perth,true,England,field,JWA Taylor,M Erasmus,JD Ward,GC Joshua,SD Fry,AJ Pycroft,England,,,3,
736515.csv,Afghanistan,186,10,Oman,187,5,male,2014,2014/05/05,,Asian Cricket Council Premier League,10,Selangor Turf Club,Kuala Lumpur,true,Afghanistan,field,Samiullah Shenwari,L Poobalan,N Sivan,Sarika Prasad,,Tan Kim Hing,Afghanistan,,,5,
749771.csv,New Zealand,230,10,South Africa,236,4,male,2014/15,2014/10/21,South Africa in New Zealand ODI Series,,1,Bay Oval,Mount Maunganui,,South Africa,field,AB de Villiers,CB Gaffaney,RJ Tucker,PD Jones,SJ Davis,RS Mahanama,South Africa,,,6,
953339.csv,Afghanistan,175,10,Zimbabwe,58,10,male,2015/16,2016/01/02,Afghanistan v Zimbabwe ODI Series,,3,Sharjah Cricket Stadium,,true,Zimbabwe,bat,H Masakadza,AK Chaudhary,VA Kulkarni,Iftikhar Ali,C Shamshuddin,DT Jukes,Zimbabwe,,117,,
560924.csv,West Indies,315,5,New Zealand,260,10,male,2012,2012/07/07,New Zealand in West Indies ODI Series,,2,"""Sabina Park",Jamaica,,New Zealand,field,MN Samuels,GO Brathwaite,RK Illingworth,PJ Nero,RA Kettleborough,AJ Pycroft,West Indies,,55,,
489225.csv,West Indies,251,10,India,255,4,male,2011,2011/06/16,India in West Indies ODI Series,,5,"""Sabina Park",Jamaica,,West Indies,field,AD Russell,IJ Gould,JS Wilson,GO Brathwaite,NA Malcolm,JJ Crowe,West Indies,,,7,
930567.csv,Oman,244,8,Papua New Guinea,254,8,male,2015/16,2015/11/12,Oman tour of United Arab Emirates,,,ICC Academy Ground No 2,Dubai,true,Papua New Guinea,field,,Imran Mustafa,BB Pradhan,Ahmed Shah Durrani,,,Papua New Guinea,,,2,D/L
597928.csv,India,119,3,Sri Lanka,96,10,male,2013,2013/07/09,West Indies Tri-Nation Series,,6,"""Queen's Park Oval",Trinidad,true,Sri Lanka,field,B Kumar,NJ Llong,PJ Nero,N Duguid,JS Wilson,JJ Crowe,India,,81,,D/L
793201.csv,Bermuda,124,10,Singapore,127,7,male,2014/15,2014/10/28,,ICC World Cricket League Division Three,,Bayuemas Oval,Kuala Lumpur,true,Bermuda,bat,S Vijayakumar,JD Cloete,K Cross,AW Louw,,D Govindjee,Singapore,,,3,
628092.csv,Italy,127,9,Nepal,129,2,male,2013,2013/05/04,,ICC World Cricket League Division Three,,"""Lords",Bermuda,true,Nepal,field,RK Vishwakarma,S Taylor,C Young,R Austin,,DT Jukes,Nepal,,,8,
710303.csv,Afghanistan,253,6,Sri Lanka,124,10,male,2013/14,2014/03/03,,Asia Cup,7,Shere Bangla National Stadium,Mirpur,true,Sri Lanka,bat,KC Sangakkara,JD Cloete,BNJ Oxenford,Masudur Rahman,Anisur Rahman,BC Broad,Sri Lanka,,129,,
433562.csv,England,292,6,Netherlands,296,4,male,2010/11,2011/02/22,,ICC Cricket World Cup,5,"""Vidarbha Cricket Association Stadium",Nagpur,true,Netherlands,bat,RN ten Doeschate,Asad Rauf,BNJ Oxenford,SJ Davis,HDPK Dharmasena,RS Madugalle,England,,,6,
247490.csv,Bangladesh,251,8,South Africa,184,10,male,2006/07,2007/04/07,,ICC World Cup,34,Providence Stadium,Guyana,true,South Africa,field,Mohammad Ashraful,MR Benson,BR Doctrove,DJ Harper,SA Bucknor,BC Broad,Bangladesh,,67,,
754727.csv,Australia,329,5,South Africa,256,9,male,2014/15,2014/11/19,South Africa in Australia ODI Series,,3,Manuka Oval,Canberra,,Australia,bat,SPD Smith,SD Fry,NJ Llong,JD Ward,BF Bowden,J Srinath,Australia,,73,,
387568.csv,South Africa,119,10,England,121,3,male,2009/10,2009/11/29,England in South Africa ODI Series,,4,St George's Park,Port Elizabeth,,South Africa,bat,JM Anderson,BG Jerling,RJ Tucker,M Erasmus,JD Cloete,J Srinath,England,,,7,
656457.csv,Ireland,331,8,Zimbabwe,326,10,male,2014/15,2015/03/07,,ICC Cricket World Cup,30,Bellerive Oval,Hobart,true,Zimbabwe,field,EC Joyce,RSA Palliyaguruge,PR Reiffel,REJ Martinesz,JS Wilson,RS Mahanama,Ireland,,5,,
745161.csv,Sri Lanka,310,9,Pakistan,233,10,male,2014,2014/08/26,Pakistan in Sri Lanka ODI Series,,2,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,Sri Lanka,bat,NLTC Perera,SJ Davis,REJ Martinesz,RR Wimalasiri,S Ravi,AJ Pycroft,Sri Lanka,,77,,
518968.csv,Australia,321,6,Sri Lanka,306,10,male,2011/12,2012/03/04,,Commonwealth Bank Series,1,"""Brisbane Cricket Ground",Brisbane,,Australia,bat,DA Warner,Asad Rauf,PR Reiffel,SD Fry,BNJ Oxenford,BC Broad,Australia,,15,,
1080631.csv,United Arab Emirates,202,10,Ireland,203,2,male,2016/17,2017/03/04,Ireland in United Arab Emirates ODI Series,,2,ICC Global Cricket Academy,Dubai,,United Arab Emirates,bat,WTS Porterfield,Ahsan Raza,Akbar Ali,Iftikhar Ali,,GF Labrooy,Ireland,,,8,
291365.csv,Australia,203,9,India,153,10,male,2007/08,2008/02/17,,Commonwealth Bank Series,7,Adelaide Oval,,,Australia,bat,MJ Clarke,AL Hill,PD Parker,AD Willoughby,RL Parry,JJ Crowe,Australia,,50,,
566947.csv,India,181,8,Sri Lanka,182,2,male,2013,2013/06/20,,ICC Champions Trophy,,Sophia Gardens,Cardiff,true,India,field,I Sharma,Aleem Dar,RA Kettleborough,IJ Gould,NJ Llong,BC Broad,India,,,8,
919611.csv,Zimbabwe,161,10,Pakistan,162,3,male,2015/16,2015/10/05,Pakistan in Zimbabwe ODI Series,,3,Harare Sports Club,,,Pakistan,field,Bilal Asif,TJ Matibiri,RSA Palliyaguruge,O Chirombe,RB Tiffin,DT Jukes,Pakistan,,,7,
1168022.csv,England,177,10,Australia,178,8,female,2019,2019/07/02,Australia Women tour of England 2019,,1,Grace Road,Leicester,,Australia,field,EA Perry,RT Robinson,MJ Saggers,S Redfern,GD Lloyd,Wayne Noon,Australia,,,2,
564785.csv,Sri Lanka,294,7,India,274,10,male,2012,2012/08/04,India in Sri Lanka ODI Series,,5,Pallekele International Cricket Stadium,,,India,bat,IK Pathan,BNJ Oxenford,TH Wijewardene,HMNC Dhanasinghe,RSA Palliyaguruge,BC Broad,India,,20,,
534215.csv,England,272,5,Australia,257,9,male,2012,2012/06/29,NatWest Series,,1,Lord's,London,,Australia,field,EJG Morgan,Aleem Dar,RA Kettleborough,RK Illingworth,M Erasmus,J Srinath,England,,15,,
297794.csv,India,306,6,Australia,222,10,male,2007/08,2007/10/02,Australia in India ODI Series,,2,Nehru Stadium,Kochi,,India,field,BJ Haddin,SA Bucknor,SL Shastri,SK Tarapore,GA Pratapkumar,BC Broad,Australia,,84,,
923327.csv,Pakistan,123,9,Bangladesh,124,4,female,2015/16,2015/10/06,Bangladesh Women in Pakistan ODI Series,,2,Southend Club Cricket Stadium,Karachi,,Bangladesh,bat,Anam Amin,Asif Yaqoob,Zameer Haider,Saqib Khan,Waleed Yaqub,Aziz-ur-Rehman,Pakistan,,,6,
736449.csv,Zimbabwe,209,9,Australia,211,7,male,2014,2014/08/31,,Zimbabwe Triangular Series,4,Harare Sports Club,,,Australia,bat,E Chigumbura,Aleem Dar,O Chirombe,L Rusere,RB Tiffin,J Srinath,Zimbabwe,,,3,
932853.csv,Australia,189,9,South Africa,142,10,male,2016,2016/06/07,West Indies Tri-Nation Series,,3,Providence Stadium,Guyana,true,South Africa,bat,F Behardien,RK Illingworth,JS Wilson,GO Brathwaite,NJ Llong,JJ Crowe,South Africa,,47,,
656421.csv,Afghanistan,232,10,Sri Lanka,236,6,male,2014/15,2015/02/22,,ICC Cricket World Cup,12,University Oval,Dunedin,true,Sri Lanka,field,DPMD Jayawardene,CB Gaffaney,RK Illingworth,BNJ Oxenford,JD Cloete,BC Broad,Sri Lanka,,,4,
1089139.csv,Sierra Leone,199,10,Zambia,158,10,male,2017,2017/04/08,,ICC World Cricket League Africa Region Qualifiers,4,Willowmoore Park,Benoni,true,Zambia,bat,J Zimba,VR Angara,S George,A Louw,,D Govindjee,Zambia,,41,,
932867.csv,West Indies,270,9,Australia,212,10,male,2016,2016/06/26,West Indies Tri-Nation Series,,,"""Kensington Oval",Barbados,,Australia,bat,MR Marsh,RA Kettleborough,JS Wilson,GO Brathwaite,HDPK Dharmasena,JJ Crowe,Australia,,58,,
461570.csv,Pakistan,317,5,South Africa,260,10,male,2010/11,2010/11/08,Pakistan v South Africa ODI Series,,5,Dubai International Cricket Stadium,,true,South Africa,bat,JH Kallis,DJ Harper,Nadeem Ghauri,Ahsan Raza,Zameer Haider,AJ Pycroft,South Africa,,57,,
257470.csv,South Africa,418,5,Zimbabwe,247,4,male,2006/07,2006/09/20,Zimbabwe in South Africa ODI Series,,3,Sedgars Park,Potchefstroom,,South Africa,bat,MV Boucher,DJ Harper,BG Jerling,,KH Hurter,RS Mahanama,South Africa,,171,,
522249.csv,Zimbabwe,199,10,Bangladesh,203,4,male,2011,2011/08/19,Bangladesh in Zimbabwe ODI Series,,4,Queens Sports Club,Bulawayo,,Bangladesh,field,Rubel Hossain,O Chirombe,HDPK Dharmasena,C Phiri,TJ Matibiri,RS Mahanama,Bangladesh,,,6,
656467.csv,Scotland,363,9,Sri Lanka,215,10,male,2014/15,2015/03/11,,ICC Cricket World Cup,35,Bellerive Oval,Hobart,true,Sri Lanka,bat,KC Sangakkara,RK Illingworth,JS Wilson,IJ Gould,MA Gough,JJ Crowe,Sri Lanka,,148,,
289110.csv,Africa XI,331,8,Asia XI,318,7,male,2007,2007/06/10,,Afro-Asia Cup,3,"""MA Chidambaram Stadium",Chennai,true,Asia XI,bat,MS Dhoni,AL Hill,PD Parker,SL Shastri,AM Saheba,BC Broad,Asia XI,,13,,
350048.csv,England,296,8,Australia,185,10,male,2009,2009/09/17,NatWest Series,,6,Trent Bridge,Nottingham,,Australia,bat,TD Paine,Asad Rauf,NJ Llong,NL Bainton,RA Kettleborough,RS Mahanama,Australia,,111,,
924629.csv,Zimbabwe,271,6,Afghanistan,213,10,male,2015/16,2015/10/18,Afghanistan in Zimbabwe ODI Series,,2,Queens Sports Club,Bulawayo,,Afghanistan,bat,Mohammad Nabi,NJ Llong,RB Tiffin,L Rusere,,D Govindjee,Afghanistan,,58,,
298797.csv,South Africa,209,9,New Zealand,210,3,male,2007/08,2007/11/30,New Zealand in South Africa ODI Series,,2,St George's Park,Port Elizabeth,,South Africa,bat,"2    JM How, BB McCullum
dtype: object",MR Benson,M Erasmus,,IL Howell,J Srinath,New Zealand,,,7,
523734.csv,Zimbabwe,270,5,Pakistan,242,9,male,2011,2011/09/14,Pakistan in Zimbabwe ODI Series,,3,Harare Sports Club,,,Zimbabwe,field,Aizaz Cheema,IJ Gould,RB Tiffin,L Rusere,TJ Matibiri,DC Boon,Pakistan,,28,,
860269.csv,Sri Lanka,255,8,Pakistan,259,4,male,2015,2015/07/11,Pakistan in Sri Lanka ODI Series,,1,Rangiri Dambulla International Stadium,,,Pakistan,field,Mohammad Hafeez,IJ Gould,REJ Martinesz,RR Wimalasiri,RJ Tucker,J Srinath,Pakistan,,,6,
463150.csv,South Africa,289,9,India,154,10,male,2010/11,2011/01/12,India in South Africa ODI Series,,1,Kingsmead,Durban,,South Africa,bat,LL Tsotsobe,M Erasmus,SJA Taufel,JD Cloete,BG Jerling,BC Broad,South Africa,,135,,
749573.csv,Jersey,246,10,Oman,210,10,male,2014,2014/06/28,,ICC World Cricket League Division Four,,Indian Association Ground,Singapore,true,Jersey,field,Jatinder Singh,Ahmed Shah Pakteen,C Howard,N Mohanty,,SR Bernard,Oman,,36,,
259384.csv,Bermuda,235,8,Canada,239,5,male,2006/07,2006/11/27,,ICC Tri-Series (in South Africa),2,Sedgars Park,Potchefstroom,true,Canada,field,S Dhaniram,JJ Luck,RB Tiffin,"2    R Ellis, KH Hurter
dtype: object",,MJ Procter,Canada,,,5,
564782.csv,Sri Lanka,138,10,India,139,1,male,2012,2012/07/24,India in Sri Lanka ODI Series,,2,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,India,bat,NLTC Perera,BNJ Oxenford,RSA Palliyaguruge,MSK Nandiweera,REJ Martinesz,BC Broad,Sri Lanka,,,9,
474477.csv,England,274,8,India,27,2,male,2011,2011/09/03,NatWest Series,,1,Riverside Ground,Chester-le-Street,,England,field,,BR Doctrove,RK Illingworth,NJ Llong,M Erasmus,JJ Crowe,,no result,,,
722343.csv,South Africa,122,10,West Indies,124,1,male,2014/15,2015/01/21,West Indies in South Africa ODI Series,,3,Buffalo Park,East London,,West Indies,bat,VD Philander,JD Cloete,S Ravi,AT Holdstock,SJ Davis,BC Broad,South Africa,,,9,
565816.csv,India,226,10,England,227,3,male,2012/13,2013/01/27,England in India ODI Series,,5,Himachal Pradesh Cricket Association Stadium,Dharamsala,,England,field,IR Bell,S Asnani,SJ Davis,S Das,C Shamshuddin,AJ Pycroft,England,,,7,
676529.csv,India,211,10,West Indies,212,4,male,2013/14,2013/11/21,West Indies in India ODI Series,,1,Nehru Stadium,Kochi,,West Indies,bat,V Kohli,VA Kulkarni,RJ Tucker,P Jayapal,AK Chaudhary,DC Boon,India,,,6,
291366.csv,India,238,6,Sri Lanka,239,8,male,2007/08,2008/02/19,,Commonwealth Bank Series,8,Adelaide Oval,,true,Sri Lanka,bat,KC Sangakkara,AL Hill,PD Parker,AR Collins,RL Parry,JJ Crowe,India,,,2,
623574.csv,Zimbabwe,252,9,Bangladesh,253,4,male,2013,2013/05/05,Bangladesh in Zimbabwe ODI Series,,2,Queens Sports Club,Bulawayo,,Zimbabwe,field,SC Williams,O Chirombe,JD Cloete,RB Tiffin,TJ Matibiri,BC Broad,Zimbabwe,,,6,
249240.csv,Australia,252,10,England,253,6,male,2006/07,2007/02/09,,Commonwealth Bank Series,1,Melbourne Cricket Ground,,,Australia,bat,PD Collingwood,Asad Rauf,DJ Harper,JD Ward,RL Parry,MJ Procter,England,,,4,
433567.csv,Sri Lanka,277,7,Pakistan,266,9,male,2010/11,2011/02/26,,ICC Cricket World Cup,10,R Premadasa Stadium,Colombo,,Pakistan,bat,Shahid Afridi,IJ Gould,DJ Harper,AL Hill,NJ Llong,BC Broad,Pakistan,,11,,
914235.csv,New Zealand,246,10,Australia,191,10,male,2015/16,2016/02/08,Chappell-Hadlee Trophy,,3,Seddon Park,Hamilton,,Australia,field,IS Sodhi,IJ Gould,DJ Walker,BF Bowden,S Ravi,BC Broad,New Zealand,,55,,
562443.csv,Sri Lanka,247,7,Pakistan,248,8,male,2012,2012/06/18,Pakistan in Sri Lanka ODI Series,,5,R Premadasa Stadium,Colombo,,Pakistan,bat,AD Mathews,REJ Martinesz,PR Reiffel,WN de Silva,RSA Palliyaguruge,BC Broad,Sri Lanka,,,2,
952197.csv,Nepal,195,9,Namibia,197,5,male,2015/16,2016/04/16,,"""ICC World Cricket League Championship",21,Tribhuvan University International Cricket Ground,Kirtipur,,Namibia,bat,,BB Pradhan,Sharfuddoula,VK Jha,,GF Labrooy,Nepal,,,5,
313994.csv,Kenya,167,10,Bermuda,169,9,male,2007/08,2007/10/28,Bermuda in Kenya ODI Series,,3,Gymkhana Club Ground,Nairobi,,Bermuda,bat,,IL Howell,BB Pradhan,MO Owesi,,MJ Procter,Kenya,,,1,
225249.csv,England,154,9,Pakistan,155,7,male,2006,2006/09/10,NatWest Series,,5,Edgbaston,Birmingham,,England,field,SI Mahmood,IJ Gould,DJ Harper,PJ Hartley,NJ Llong,MJ Procter,England,,,3,
760787.csv,Bangladesh,281,7,Zimbabwe,194,10,male,2014/15,2014/11/21,Zimbabwe in Bangladesh ODI Series,,1,Zahur Ahmed Chowdhury Stadium,Chittagong,,Zimbabwe,field,Shakib Al Hasan,CB Gaffaney,Sharfuddoula,Masudur Rahman,Anisur Rahman,RS Madugalle,Bangladesh,,87,,
1059716.csv,Zimbabwe,160,10,Sri Lanka,166,4,male,2016/17,2016/11/27,Zimbabwe Tri-Nation Series,,,Queens Sports Club,Bulawayo,,Zimbabwe,bat,BKG Mendis,RK Illingworth,TJ Matibiri,L Rusere,MA Gough,J Srinath,Sri Lanka,,,6,
736501.csv,Nepal,191,10,United Arab Emirates,195,6,male,2014,2014/05/01,,Asian Cricket Council Premier League,3,Selangor Turf Club,Kuala Lumpur,true,Nepal,field,SP Khakurel,Shafizan Shahriman,N Sivan,L Poobalan,,Ramesh Menon,Nepal,,,4,
350045.csv,England,228,9,Australia,230,4,male,2009,2009/09/09,NatWest Series,,3,The Rose Bowl,Southampton,,England,bat,CL White,PJ Hartley,AL Hill,NJ Llong,RA Kettleborough,RS Mahanama,Australia,,,6,
343732.csv,Sri Lanka,146,10,India,147,2,male,2008,2008/08/18,India in Sri Lanka ODI Series,,1,Rangiri Dambulla International Stadium,,,India,bat,BAW Mendis,EAR de Silva,BR Doctrove,MSK Nandiweera,MG Silva,BC Broad,Sri Lanka,,,8,
647255.csv,India,295,8,Australia,27,0,male,2013/14,2013/10/23,Australia in India ODI Series,,4,JSCA International Stadium Complex,Ranchi,,India,field,,RA Kettleborough,VA Kulkarni,VK Sharma,AK Chaudhary,RS Mahanama,,no result,,,
656433.csv,Bangladesh,332,1,Sri Lanka,240,10,male,2014/15,2015/02/26,,ICC Cricket World Cup,18,Melbourne Cricket Ground,,true,Sri Lanka,bat,TM Dilshan,Aleem Dar,PR Reiffel,JS Wilson,RA Kettleborough,JJ Crowe,Sri Lanka,,92,,
573023.csv,Australia,266,7,West Indies,212,10,male,2012/13,2013/02/03,West Indies in Australia ODI Series,,2,Western Australia Cricket Association Ground,Perth,,West Indies,field,GJ Bailey,NJ Llong,PR Reiffel,JD Ward,Asad Rauf,RS Madugalle,Australia,,54,,
267708.csv,India,268,10,West Indies,270,7,male,2006/07,2007/01/27,West Indies in India ODI Series,,3,"""MA Chidambaram Stadium",Chennai,,West Indies,field,MN Samuels,BF Bowden,SL Shastri,AY Gokhale,GA Pratapkumar,AG Hurst,West Indies,,,3,
247468.csv,Bermuda,413,5,India,156,10,male,2006/07,2007/03/19,,ICC World Cup,12,"""Queen's Park Oval",Trinidad,true,Bermuda,field,V Sehwag,Aleem Dar,IL Howell,SJ Davis,DJ Harper,AG Hurst,India,,257,,
1059196.csv,Sri Lanka,240,9,England,78,10,female,2016/17,"2    2016/11/17 - 2016/11/18
dtype: object",England Women in Sri Lanka ODI Series,"""ICC Women's Championship",4,R Premadasa Stadium,Colombo,,England,bat,,WN de Silva,RSA Palliyaguruge,RA Kottahachchi,,GF Labrooy,England,,162,,
1073410.csv,Bangladesh,140,10,Scotland,143,3,female,2016/17,2017/02/10,,ICC Women's World Cup Qualifier,10,Colombo Cricket Club Ground,,true,Scotland,bat,Rumana Ahmed,AK Chaudhary,K Cross,RMPJ Rambukwella,,,Bangladesh,,,7,
247491.csv,Australia,247,10,England,248,3,male,2006/07,2007/04/08,,ICC World Cup,35,"""Sir Vivian Richards Stadium",Antigua,true,England,bat,SW Tait,BF Bowden,RE Koertzen,NA Malcolm,Asad Rauf,MJ Procter,Australia,,,7,
754761.csv,Australia,278,8,England,166,10,male,2014/15,2015/02/01,Carlton Mid One-Day International Tri-Series,,,Western Australia Cricket Association Ground,Perth,,England,field,GJ Maxwell,M Erasmus,SD Fry,MD Martell,JD Ward,AJ Pycroft,Australia,,112,,
345469.csv,India,330,8,Pakistan,190,10,male,2008,2008/06/10,,Kitply Cup,2,Shere Bangla National Stadium,Mirpur,true,India,bat,V Sehwag,EAR de Silva,Enamul Haque,Anisur Rahman,AFM Akhtaruddin,JJ Crowe,India,,140,,
979845.csv,Jersey,194,7,Oman,150,10,male,2016,2016/05/28,,ICC World Cricket League Division Five,,Grainville,St Saviour,,Oman,field,AW Hawkins-Kay,AJ Neill,Tabarak Dar,IO Oyieko,,DT Jukes,Jersey,,44,,
258477.csv,England,187,10,India,188,3,male,2007,2007/09/08,NatWest Series,,7,Lord's,London,,India,bat,KP Pietersen,Aleem Dar,IJ Gould,RJ Bailey,PJ Hartley,RS Mahanama,England,,,7,
239918.csv,West Indies,217,7,India,218,4,male,2006,2006/05/26,India in West Indies ODI Series,,4,"""Queen's Park Oval",Trinidad,,West Indies,field,DJ Bravo,BR Doctrove,SJA Taufel,,SA Bucknor,BC Broad,West Indies,,,6,
635656.csv,Sri Lanka,238,10,South Africa,239,2,male,2013,2013/07/28,South Africa in Sri Lanka ODI Series,,4,Pallekele International Cricket Stadium,,,South Africa,bat,TM Dilshan,RSA Palliyaguruge,RJ Tucker,REJ Martinesz,RA Kettleborough,AJ Pycroft,Sri Lanka,,,8,
518958.csv,Australia,231,10,Sri Lanka,226,10,male,2011/12,2012/02/10,,Commonwealth Bank Series,3,Western Australia Cricket Association Ground,Perth,,Sri Lanka,field,MJ Clarke,NJ Llong,BNJ Oxenford,IH Lock,PR Reiffel,AJ Pycroft,Australia,,5,,
736447.csv,Zimbabwe,231,10,South Africa,170,10,male,2014,2014/08/29,,Zimbabwe Triangular Series,3,Harare Sports Club,,,Zimbabwe,field,P Utseya,IJ Gould,TJ Matibiri,L Rusere,O Chirombe,J Srinath,South Africa,,61,,
291368.csv,Australia,317,7,India,299,10,male,2007/08,2008/02/24,,Commonwealth Bank Series,10,Sydney Cricket Ground,,,Australia,bat,RT Ponting,DJ Harper,AL Hill,RD Goodger,BNJ Oxenford,JJ Crowe,Australia,,18,,
578622.csv,South Africa,230,6,West Indies,190,6,male,2013,2013/06/14,,ICC Champions Trophy,9,Sophia Gardens,Cardiff,true,West Indies,field,CA Ingram,SJ Davis,RJ Tucker,Aleem Dar,BNJ Oxenford,AJ Pycroft,,tie,,,D/L
390227.csv,Canada,252,7,Scotland,104,10,male,2009,2009/04/08,,ICC World Cup Qualifiers,27,Willowmoore Park,Benoni,true,Scotland,field,A Bagai,M Erasmus,RJ Tucker,Sarika Prasad,,BC Broad,Canada,,148,,
361047.csv,India,270,4,England,273,4,male,2008/09,2008/11/26,England in India ODI Series,,5,Barabati Stadium,Cuttack,,India,field,V Sehwag,DJ Harper,AM Saheba,UL Dubey,SK Tarapore,RS Mahanama,India,,,6,
523732.csv,Zimbabwe,247,7,Pakistan,242,7,male,2011,2011/09/08,Pakistan in Zimbabwe ODI Series,,1,Queens Sports Club,Bulawayo,,Pakistan,bat,Younis Khan,O Chirombe,IJ Gould,LA Ngwenya,TJ Matibiri,DC Boon,Pakistan,,5,,
589310.csv,India,167,10,Pakistan,157,10,male,2012/13,2013/01/06,Pakistan in India ODI Series,,3,Feroz Shah Kotla,Delhi,,India,bat,MS Dhoni,S Asnani,BF Bowden,AK Chaudhary,VA Kulkarni,RS Mahanama,India,,10,,
426420.csv,Bangladesh,228,10,England,229,4,male,2009/10,2010/02/28,England in Bangladesh ODI Series,,1,Shere Bangla National Stadium,Mirpur,,England,field,Tamim Iqbal,Nadir Shah,RJ Tucker,Tanvir Ahmed,Sharfuddoula,JJ Crowe,England,,,6,
386530.csv,Sri Lanka,246,7,India,247,4,male,2008/09,2009/01/28,India in Sri Lanka ODI Series,,1,Rangiri Dambulla International Stadium,,,India,field,ST Jayasuriya,HDPK Dharmasena,BG Jerling,SSK Gallage,MG Silva,BC Broad,India,,,6,
645643.csv,West Indies,242,7,Pakistan,243,6,male,2013,2013/07/24,Pakistan in West Indies ODI Series,,5,"""Beausejour Stadium",St Lucia,,Pakistan,field,Misbah-ul-Haq,PR Reiffel,JS Wilson,PJ Nero,SJ Davis,DC Boon,Pakistan,,,4,
439143.csv,West Indies,141,10,Zimbabwe,142,6,male,2009/10,2010/03/12,Zimbabwe in West Indies ODI Series,,4,"""Arnos Vale Ground",St Vincent,,West Indies,field,DJ Bravo,NA Malcolm,SJA Taufel,CE Mack,GE Greaves,RS Mahanama,West Indies,,,4,
571147.csv,Australia,244,7,Pakistan,250,7,male,2012,2012/09/03,Pakistan v Australia ODI Series,,3,Sharjah Cricket Stadium,,true,Australia,field,MEK Hussey,Ahsan Raza,BF Bowden,Shozab Raza,NJ Llong,RS Mahanama,Australia,,,3,
657645.csv,Pakistan,232,10,Sri Lanka,235,8,male,2013/14,2013/12/27,Pakistan v Sri Lanka ODI Series,,5,Sheikh Zayed Stadium,Abu Dhabi,true,Pakistan,bat,LD Chandimal,JD Cloete,Shozab Raza,Ahsan Raza,RK Illingworth,J Srinath,Sri Lanka,,,2,
997993.csv,Scotland,327,5,United Arab Emirates,229,10,male,2016,2016/08/14,,"""ICC World Cricket League Championship",26,"""Grange Cricket Club Ground",Edinburgh,,United Arab Emirates,field,,DA Haggo,M Hawthorne,AJT Dowdalls,,GF Labrooy,Scotland,,98,,
